partition	token	count_part	count_rest	llr	direction
2	6c	39	0	46.410850	+
2	ذلك	126	215	45.695914	-
2	الش	71	8	45.529193	+
2	2f	38	0	45.220626	+
2	6RHa	38	0	45.220626	+
2	ت	273	107	44.802368	+
2	D9	37	0	44.030412	+
2	Mд	37	0	44.030412	+
2	F6	36	0	42.840208	+
2	إن	42	104	41.632976	-
2	النبي	5	42	41.481900	-
2	لم	51	116	41.281972	-
2	شبكة	72	10	40.917287	+
2	المستشرقون	66	135	40.678430	-
2	بالإنجليزية	2	33	39.993944	-
2	الاسلام	1	29	38.949384	-
2	المنهج	8	46	38.020167	-
2	ـ	42	99	37.069793	-
2	تاريخ	49	108	36.669725	-
2	المسلمين	85	153	36.397777	-
2	صلى	17	61	36.310384	-
2	إلا	28	78	36.068083	-
2	والش	30	0	35.699213	+
2	الدين	33	84	34.841199	-
2	كل	67	128	34.177738	-
2	وسلم	19	62	33.837034	-
2	مع	71	132	33.474587	-
2	التراث	15	55	33.351903	-
2	6J	28	0	33.318967	+
2	6ra	28	0	33.318967	+
2	السابق	14	53	33.009791	-
2	2024	1	25	32.822342	-
2	2025	45	98	32.663521	-
2	المجلة	2	28	32.607080	-
2	هي	20	62	32.165658	-
2	بb	27	0	32.128860	+
2	الذي	141	210	31.783166	-
2	ومن	66	123	31.334754	-
2	قد	54	108	31.306308	-
2	المركزية	1	24	31.297780	-
2	عدد	20	61	31.123866	-
2	السيرة	4	32	30.984461	-
2	العقيقي	4	32	30.984461	-
2	84	36	2	30.377103	+
2	العلم	18	57	30.208634	-
2	쨰	25	0	29.748677	+
2	تلك	38	85	29.503604	-
2	الحضارة	16	53	29.339695	-
2	بعض	56	108	29.338410	-
2	المعارف	8	39	29.205889	-
2	القرآنية	51	7	29.197064	+
2	بين	106	166	28.741938	-
2	العربي	38	84	28.641261	-
2	ƍ4n	24	0	28.558602	+
2	J6	24	0	28.558602	+
2	QF9l	24	0	28.558602	+
2	QF5lT	24	0	28.558602	+
2	2023	1	22	28.259002	-
2	الثانية	2	25	28.230262	-
2	ينظر	5	32	27.983365	-
2	والتاريخ	3	27	27.382770	-
2	F72	23	0	27.368538	+
2	r6	23	0	27.368538	+
2	الجزائر	10	41	27.197516	-
2	يق	33	2	27.144955	+
2	الطبعة	2	24	26.782655	-
2	إذ	6	33	26.596718	-
2	م	339	172	26.552801	+
2	نفسه	21	58	26.551869	-
2	الم	70	16	26.332132	+
2	iHF7Ҹ	22	0	26.178484	+
2	أهم	10	40	26.034152	-
2	الأفكار	3	26	25.992694	-
2	غ	50	8	25.794878	+
2	أ	242	112	25.790929	+
2	دائرة	7	34	25.400362	-
2	اليهود	2	23	25.341479	-
2	التبشير	2	23	25.341479	-
2	كانت	64	112	25.118120	-
2	A7	21	0	24.988441	+
2	j6	21	0	24.988441	+
2	4K	21	0	24.988441	+
2	E6	21	0	24.988441	+
2	كما	87	138	24.675028	-
2	الصراع	3	25	24.610597	-
2	الأولى	21	56	24.596902	-
2	استشراق	46	7	24.595107	+
2	بدوي	4	27	24.235584	-
2	قاموس	40	5	24.224780	+
2	مقالة	40	5	24.224780	+
2	نجد	5	29	24.080950	-
2	90	30	2	23.944194	+
2	الموضوعية	2	22	23.907282	-
2	حلاق	20	0	23.798408	+
2	آفاق	20	0	23.798408	+
2	b1	20	0	23.798408	+
2	b3	20	0	23.798408	+
2	٨d	20	0	23.798408	+
2	٨f	20	0	23.798408	+
2	هناك	13	43	23.769235	-
2	النبوية	13	43	23.769235	-
2	الجهود	1	19	23.731700	-
2	خلال	29	66	23.497403	-
2	بها	39	79	23.401714	-
2	الرسول	8	34	23.166794	-
2	هنا	16	47	23.045554	-
2	والتي	6	30	22.829612	-
2	قا	19	0	22.608387	+
2	R6J	19	0	22.608387	+
2	ǂv	19	0	22.608387	+
2	الاسلامية	2	21	22.480684	-
2	ب	200	91	22.415734	+
2	صدر	9	35	22.277279	-
2	السابقة	1	18	22.232525	-
2	المؤلف	1	18	22.232525	-
2	مراد	1	18	22.232525	-
2	الثقافة	18	49	22.055015	-
2	الغرب	83	129	21.893684	-
2	وش	28	2	21.830865	+
2	كتبه	6	29	21.595328	-
2	قسم	5	27	21.529225	-
2	التفسير	50	10	21.472938	+
2	وهو	45	84	21.457947	-
2	غير	37	74	21.443449	-
2	خطبة	18	0	21.418375	+
2	Ǎ	18	0	21.418375	+
2	8miNpڀ	18	0	21.418375	+
2	المدرسة	16	45	21.030199	-
2	ط	54	12	20.922183	+
2	أو	193	243	20.837260	-
2	لدراسة	11	37	20.776083	-
2	والبحوث	1	17	20.739223	-
2	الغربيون	3	22	20.518711	-
2	التاريخي	5	26	20.270382	-
2	ابحث	17	0	20.228375	+
2	لأ	17	0	20.228375	+
2	معرفة	18	47	20.119485	-
2	الكتب	27	59	19.760814	-
2	الباحث	8	31	19.674061	-
